"name"	"size"	"type"	"directory"
"2fd6f38ad05824d96fc9cc10fe8babd630773c"	"59"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\d4"
"69b69a4bceb5a36da049f3d675c461089544b7"	"184"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\d4"
"c7047cdeb86f9e05ce607cd452dac3cf04c63c"	"91"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\d4"
"de8ff9af0921453df4106752a066d33ac10aa0"	"168"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\d7"
"88bbf07f4a1c3c13298d14660956271aaea0b7"	"117"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\d9"
"94faee39f7f80c5deaab2885129b9f66f5cdf7"	"517"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\db"
"4aafcf74ad4703f5a1f26e9d505e4769715689"	"1178"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\dc"
"07d51aa58422a2c24d0990a18b78e49ce9e779"	"242"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\dd"
"1a346afe55a8dd531f96a559db3a5bb15a57c4"	"185"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\df"
"b2706dae7fe421b8b2ec6b10e009e45964e334"	"2594"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\df"
"f0b6ce56b52222715cee4c7043052d93ac250e"	"632"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\e1"
"dc61775b87db246cfa856deddc744764210b4b"	"193"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\e2"
"e14787d55e320cd9b9283bd8f1c04d4d1071f1"	"1851"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\e3"
"84c93e55ea11efdd5bb35a6ab26bde8e1a9cd9"	"58"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\e5"
"6d0ba9c9e6da68617027b3020bb7faf0fb2f37"	"66"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\e6"
"9de29bb2d1d6434b8b29ae775ad8c2e48c5391"	"15"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\e6"
"f28d66b5a9be190d49462504ffc6616876041d"	"515"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\e8"
"1a9a8cf8d90931ca5253ebb0b6909bc481a1a3"	"3023"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\eb"
"c93b734b609d4d48f59ea89f97b686704e1bc3"	"218"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\ed"
"2a89db6539cf3b75f9e5a7af99d04f0e487605"	"158"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\ee"
"bb50589725614eccfca2050736a5aeb4b931d3"	"766"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\ef"
"e8063ab1397cb3be99fc1110832dee20f4a3cf"	"65"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\ef"
"3d30bcfaa66a90e82fa4b9c50daad7d36e63fa"	"107"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\f1"
"e723840c4ad3b33bb7a6a3d56c5f1f4bec36a7"	"626"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\f2"
"7406ff322a9a1f3a2ef27f826a36cf375cf4ac"	"90"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\f4"
"fa75725127b7195b83a9f6ef3e8f6603332032"	"625"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\f4"
"a34fb8e9eb740076ab01f044eb71f816c91074"	"3067"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\f6"
"d1787ced92bbd7881d63ebfb270c5f1bcedb90"	"185"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\f7"
"23170b82517047a583f8e768d2f01b760d2eb3"	"324"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\f8"
"c63385509d5e3fb17725daf4f04c0ece0283ff"	"292"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\f8"
"41796f9d73dabe638a18902685792303921051"	"270"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\fa"
"e765fbe89803069d0c88fc37f6bd09fb8d4fab"	"243"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\fd"
"479fe4bf1680861ee16b620b2c3621fad97ca1"	"574"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\fe"
"6a21dca416110ecda63f86ede4a1d9b8e4092c"	"1013"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\ff"
"pack-6104fb3f32ce759d0f57bfb9e34598a0b482074b.idx"	"1156"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\pack"
"pack-6104fb3f32ce759d0f57bfb9e34598a0b482074b.pack"	"628"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\pack"
"Home_Work_1"	"41"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\refs\heads"
"Home_Work_2"	"41"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\refs\heads"
"Home_Work_3"	"41"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\refs\heads"
"Home_Work_4"	"41"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\refs\heads"
"Home_Work_5"	"41"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\refs\heads"
"Home_Work_6"	"41"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\refs\heads"
"Home_Work_7"	"41"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\refs\heads"
"Home_Work_8"	"41"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\refs\heads"
"main"	"41"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\refs\heads"
"HEAD"	"30"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\refs\remotes\origin"
"Home_Work_1"	"41"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\refs\remotes\origin"
"Home_Work_2"	"41"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\refs\remotes\origin"
"Home_Work_3"	"41"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\refs\remotes\origin"
"Home_Work_4"	"41"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\refs\remotes\origin"
"Home_Work_5"	"41"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\refs\remotes\origin"
"Home_Work_6"	"41"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\refs\remotes\origin"
"Home_Work_7"	"41"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\refs\remotes\origin"
"Home_Work_8"	"41"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\refs\remotes\origin"
"main"	"41"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\refs\remotes\origin"
".gitignore"	"50"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.idea"
"Immersion_in_python.iml"	"291"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.idea"
"misc.xml"	"189"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.idea"
"modules.xml"	"297"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.idea"
"vcs.xml"	"172"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.idea"
"workspace.xml"	"9017"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.idea"
"profiles_settings.xml"	"174"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.idea\inspectionProfiles"
"task1.py"	"1609"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_1"
"task2.py"	"1119"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_1"
"task3.py"	"1031"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_1"
"task7.py"	"1621"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_1"
"task8.py"	"460"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_1"
"task9.py"	"334"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_1"
"task1.py"	"3133"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_2"
"task2.py"	"787"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_2"
"task3.py"	"2049"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_2"
"hw_task1.py"	"440"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_3"
"hw_task2.py"	"5091"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_3"
"hw_task3.py"	"1896"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_3"
"task4.py"	"472"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_3"
"task5.py"	"716"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_3"
"task6.py"	"1837"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_3"
"task7.py"	"1109"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_3"
"task8.py"	"2627"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_3"
"task1.py"	"610"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_4"
"task2.py"	"714"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_4"
"task3.py"	"3146"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_4"
"task6.py"	"856"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_4"
"task7.py"	"1071"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_4"
"task8.py"	"1076"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_4"
"task1.py"	"609"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_5"
"task2.py"	"920"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_5"
"task3.py"	"477"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_5"
"main.py"	"145"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_6"
"__init__.py"	"480"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_6"
"check_queen.py"	"2358"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_6\chess"
"riddle.py"	"2907"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_6\enigma"
"riddle.cpython-310.pyc"	"1569"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_6\enigma\__pycache__"
"game.py"	"2444"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_6\game"
"game.cpython-310.pyc"	"1321"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_6\game\__pycache__"
"task.py"	"1689"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_6\years"
"task.cpython-310.pyc"	"917"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_6\years\__pycache__"
"main.py"	"150"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_7"
"__init__.py"	"206"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_7"
"5xRVCmYflPtRR_test_1_test_0_test_1.txt"	"2841"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_7\Doc"
"8Mze42Tixygq4T2b45tnyD_test_2_test_2_test_1_test_1_test_2.txt"	"4009"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_7\Doc"
"8OuLFqmhhLw7GTpVQ9jik_test_3_test_3_test_2_test_3.txt"	"4042"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_7\Doc"
"AUDfy1E9Q2_test_4_test_4_test_3_test_4.txt"	"413"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_7\Doc"
"file_1_test_5_test_5_test_2_test_4_test_5.txt"	"50"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_7\Doc"
"file_4_test_6_test_6_test_5_test_6.txt"	"122"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_7\Doc"
"knKgf9oG7r4jP_test_7_test_7_test_6_test_7.txt"	"2416"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_7\Doc"
"kznWrxfZIdUTlJ_test_8_test_7_test_8.txt"	"1084"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_7\Doc"
"results_test_9_test_9_test_8_test_9.txt"	"111"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_7\Doc"
"BfK0p60MbHOrPertxHeXIoPo0Sa.png"	"3980"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_7\Image"
"PP4lTwNP2DF.png"	"1646"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_7\Image"
"xBnAZH0sso59alAWsiORk.png"	"318"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_7\Image"
"task1.py"	"1632"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_7\Tasks"
"task2.py"	"1282"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_7\Tasks"
"task3.py"	"2959"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_7\Tasks"
"task4.py"	"3207"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_7\Tasks"
"task5.py"	"999"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_7\Tasks"
"task6.py"	"1503"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_7\Tasks"
"directories.csv"	"62567"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_8"
"directories.json"	"99276"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_8"
"directories.pickle"	"36018"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_8"
"file.json"	"115"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_8"
"file.pickle"	"83"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_8"
"result.pickle"	"2679"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_8"
"results.json"	"3266"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_8"
"results.txt"	"4904"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_8"
"task1.py"	"959"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_8"
"task2.py"	"1697"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_8"
"task3.py"	"841"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_8"
"task4.py"	"1287"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_8"
"task5.py"	"777"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_8"
"task6.py"	"1025"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_8"
"task7.py"	"923"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_8"
"task8.py"	"2509"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_8"
"user.pickle"	"79"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_8"
"users.csv"	"36"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_8"
"users.json"	"136"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_8"
"users_tab.csv"	"54"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_8"
".git"	"28028"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python"
".idea"	"10016"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python"
"Home_Work_1"	"6174"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python"
"Home_Work_2"	"5969"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python"
"Home_Work_3"	"14188"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python"
"Home_Work_4"	"7473"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python"
"Home_Work_5"	"2006"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python"
"Home_Work_6"	"625"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python"
"Home_Work_7"	"4452"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python"
"Home_Work_8"	"219231"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python"
"hooks"	"23513"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git"
"info"	"240"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git"
"logs"	"7115"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git"
"objects"	"0"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git"
"refs"	"4096"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git"
"refs"	"4096"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs"
"heads"	"5986"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs"
"remotes"	"4096"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs"
"origin"	"4973"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\remotes"
"01"	"296"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"02"	"1500"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"04"	"163"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"07"	"870"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"08"	"880"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"0b"	"926"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"0c"	"1254"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"12"	"451"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"13"	"65"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"16"	"162"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"17"	"1189"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"19"	"157"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"1b"	"1064"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"1f"	"89"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"23"	"297"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"24"	"199"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"25"	"199"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"27"	"443"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"2a"	"626"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"2b"	"3372"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"2d"	"627"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"2e"	"117"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"2f"	"91"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"31"	"686"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"34"	"544"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"36"	"106"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"38"	"1052"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"39"	"673"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"3a"	"2167"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"3c"	"413"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"3d"	"513"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"40"	"463"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"41"	"1634"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"42"	"535"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"44"	"664"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"46"	"330"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"47"	"752"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"48"	"143"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"4c"	"1281"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"4e"	"351"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"4f"	"169"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"51"	"1922"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"52"	"173"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"54"	"3208"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"57"	"1371"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"59"	"1624"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"5a"	"2385"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"5b"	"67"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"5c"	"57"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"5e"	"1257"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"5f"	"1011"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"63"	"674"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"65"	"869"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"66"	"105"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"67"	"106"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"6a"	"394"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"6b"	"678"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"6e"	"1032"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"6f"	"723"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"71"	"171"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"72"	"2016"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"73"	"408"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"78"	"61"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"7a"	"308"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"7b"	"59"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"7c"	"696"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"7f"	"622"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"80"	"204"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"81"	"287"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"83"	"258"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"85"	"321"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"87"	"1651"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"8a"	"796"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"8c"	"686"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"8d"	"412"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"8e"	"166"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"90"	"167"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"94"	"2922"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"96"	"340"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"97"	"1356"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"98"	"303"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"99"	"158"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"9b"	"106"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"9c"	"162"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"a0"	"161"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"a2"	"311"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"a3"	"629"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"a9"	"592"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"ab"	"632"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"ac"	"556"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"ad"	"98"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"af"	"1076"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"b1"	"218"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"b2"	"185"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"b5"	"1130"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"b6"	"97"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"b7"	"1268"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"b8"	"361"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
