INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='', type='gitignore', flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='README', type='md', flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='.git', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='.idea', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_1', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_10', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_11', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_12', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_13', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_14', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_15', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_2', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_3', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_4', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_5', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_6', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_7', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_8', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='Home_Work_9', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='COMMIT_EDITMSG', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='config', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='description', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='FETCH_HEAD', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='HEAD', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='index', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='ORIG_HEAD', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='packed-refs', type=None, flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git')
